Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Male life expectancy,Female life expectancy ,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Year,Country
3133133.0,1656074.0,1477059.0,12.157,8.344,10.0,16.63812,46.5042,43.65321,11.28046,10.933,2118467913.37873,9.55429547389947,63602627.4636976,31713744021.113472,1235.82369468516,5.42,71.1767448005604,67.073,74.587,93.4416732788086,33.6579399108887,93.34517165078628,2001,Armenia
3168523.0,1672230.0,1496293.0,12.51,8.27,10.0,16.5716,47.51644,44.32447,11.40787,11.055,1911563668.85006,0.30583481231632,58972266.9528438,31713744021.113472,1257.05257623189,7.16,70.0489923558026,66.89,74.152,88.3385314941406,35.331470489502,93.34517165078628,2000,Armenia
3206030.0,1689410.0,1516620.0,13.265,8.261,10.0,16.46279,48.28792,44.85633,11.52033,11.2,1845482173.02732,4.24967317067878,54956292.9391096,31713744021.113472,1259.81353886271,8.36,65.2516387031746,66.554,73.767,122.595680236816,34.5188789367676,93.34517165078628,1999,Armenia
3240550.0,1705134.0,1535416.0,13.902,7.808,8.913544668587896,16.4982,48.84616,45.40971,11.67253,9.4,1893726437.26462,4.5519973023939,58815383.5480674,31713744021.113472,1255.34245729892,9.38,72.1261074932223,66.785,74.033,121.646560668945,32.2960205078125,93.34517165078628,1998,Armenia
3271418.0,1719116.0,1552302.0,14.75,7.994,8.913544668587896,16.59503,49.3147,45.64052,11.78325,10.8,1639492444.76152,7.79677677870308,97204737.8719935,31713744021.113472,1445.24484489601,10.12,70.6360975745997,66.322,73.293,122.268859863281,21.6399097442627,90.6225814819336,1997,Armenia
3298898.0,1731224.0,1567674.0,15.489,7.837,8.913544668587896,16.7487,49.58484,45.99102,12.03065,9.3,1596968946.23708,7.20905194257311,44730000.0,31713744021.113472,1171.60336573001,12.47,57.650823952163,65.82,73.589,90.0802536010742,16.0046005249023,93.34517165078628,1996,Armenia
3322782.0,1741288.0,1581494.0,16.348,7.969,8.913544668587896,16.96626,49.78033,46.28241,12.34967,6.7,1468317435.20148,1.1851792829892964,39521299.9879387,31713744021.113472,1016.91895526098,9.27,84.2510636202063,65.445,73.023,89.3949279785156,18.2080593109131,93.34517165078628,1995,Armenia
10175016.0,5154493.0,5020523.0,20.700378250591015,6.343086682427107,10.0,21.36863953196527,28.950358508050513,31.756572870402525,12.925650460931333,5.462,78721058823.5294,1.1851792829892964,-5486976470.58824,3750705882.35294,3671.529454986526,20.82783034257749,78.3627517306781,68.71925216706067,74.08075886524823,99.8082962036133,41.7732887268066,99.7032775878906,2022,Azerbaijan
10137750.0,5135000.0,5002750.0,11.1,7.6,10.0,15.44495,34.18707,39.42711,7.062349,5.95,54825411764.7059,1.1851792829892964,-1138058823.52941,3139294117.64706,3671.529454986526,20.82783034257749,78.3627517306781,65.646,73.287,97.7304992675781,38.866081237793,96.5635528564453,2021,Azerbaijan
10093121.0,5110146.0,4982975.0,12.5,7.5,10.0,14.95154,34.84196,40.03536,6.917437,7.16,42693000000.0,1.1851792829892964,-270117647.058824,2877058823.52941,3671.529454986526,1.23,78.3627517306781,62.986,70.998,98.2360687255859,36.1521987915039,98.5337295532227,2020,Azerbaijan
10024283.0,5076092.0,4948191.0,14.1,5.6,10.0,14.90599,34.66605,39.88724,6.786845,4.85,48174235294.1176,1.1851792829892964,-1855705882.35294,2743647058.82353,3671.529454986526,1.62,78.3627517306781,70.23,75.832,97.9353485107422,31.5401992797852,100.383338928223,2019,Azerbaijan
9939771.0,5036324.0,4903447.0,14.0,5.8,10.0,14.67404,35.4523,40.8495,6.607662,4.94,47112479289.4186,1.1851792829892964,-2259389613.82731,2455740629.99382,3671.529454986526,1.93,78.3627517306781,69.693,75.708,99.7220993041992,27.7084999084473,100.219947814941,2018,Azerbaijan
9854033.0,4995509.0,4858524.0,14.6,5.8,10.0,14.47207,35.94409,41.48027,6.383563,4.96,40866632047.8414,1.1851792829892964,-1545009197.63797,2291542861.16272,3671.529454986526,1.91,78.3627517306781,68.953,75.467,103.294097900391,27.0674095153809,107.172172546387,2017,Azerbaijan
9757812.0,4949204.0,4808608.0,16.3,5.8,10.0,14.32803,36.33691,42.08655,6.118748,5.0,37867007022.7844,1.1851792829892964,-2275584952.98542,2122425401.73249,3671.529454986526,1.94,78.3627517306781,68.411,75.587,106.431739807129,25.926420211792,111.301910400391,2016,Azerbaijan
9649341.0,4897309.0,4752032.0,17.2,5.7,10.0,14.06371,36.35587,42.03612,5.961463,4.96,53076244754.5037,1.1851792829892964,-1697112438.01271,3278761107.0946,3671.529454986526,2.33,78.3627517306781,68.081,74.788,106.601486206055,25.4832000732422,103.280212402344,2015,Azerbaijan
9535079.0,4843396.0,4691683.0,17.9,5.8,10.0,14.30424,36.75345,42.63239,6.251621,4.91,75239737488.8044,1.1851792829892964,-2156824621.73973,4002307650.62679,2202.39391828846,2.12,98.3659900265556,67.813,74.384,106.05989074707,23.1597309112549,98.1257095336914,2014,Azerbaijan
9416801.0,4787835.0,4628966.0,18.3,5.8,10.0,14.37501,37.10055,43.50152,6.103645,4.97,74160553008.7311,1.1851792829892964,-3688270877.35149,3979651414.59318,2092.53652062946,2.52,98.2112327190642,67.482,74.277,100.500450134277,21.4404296875,88.0894088745117,2013,Azerbaijan
9295784.0,4730889.0,4564895.0,18.8,5.9,9.0,14.28698,37.65334,43.88524,6.287882,5.19,69679913509.9091,0.315730880341576,-3944527899.41506,3581386947.59089,2052.65096521176,2.84,98.4767015665508,66.905,73.833,97.9553070068359,20.4384593963623,91.9911880493164,2012,Azerbaijan
9173082.0,4673150.0,4499932.0,19.2,5.9,9.0,14.07454,37.88278,43.91142,6.222593,5.42,65952763948.839,15.5874375309577,-4511791073.17919,3347531421.58051,1705.4246326371,3.55,97.8625715488742,66.64,73.344,95.5736312866211,19.647310256958,92.8068313598633,2011,Azerbaijan
9054332.0,4617521.0,4436811.0,18.3,5.9,9.0,13.71677,38.22997,44.38409,6.300072,5.63,52909294791.9262,-5.76321374687996,-3168203339.14777,2921255918.26564,1603.43137406492,4.45,96.9324916140822,66.255,72.821,93.7622985839844,19.2600402832031,89.5144500732422,2010,Azerbaijan
8947243.0,4567635.0,4379608.0,17.0,5.9,9.0,12.66913,38.12477,44.10107,5.621912,5.74,44292408816.638,-1.74531934721371,-3269537810.7699,2711551620.46157,1620.3874199013,3.27,97.9165307110792,65.976,72.777,95.0685729980469,19.057710647583,91.7717208862305,2009,Azerbaijan
8763400.0,4481467.0,4281933.0,17.4,6.0,9.0,12.13018,39.59319,43.16676,5.05452,5.86,48851318825.7152,19.4159711528943,-5020206560.50814,2733625217.56765,2040.76043544743,3.08,98.3024770701215,65.623,71.989,94.0724716186523,19.0478897094727,90.7368316650391,2008,Azerbaijan
8581300.0,4398946.0,4182354.0,17.7,6.3,9.0,12.62549,38.54912,43.83479,3.996481,6.33,33049426816.4448,21.1357421320694,-4830072257.8516,2215298051.09436,2118.21052754245,3.78,97.764698530017,65.189,72.025,94.7712020874023,19.3645992279053,98.13037109375,2007,Azerbaijan
8484550.0,4359693.0,4124857.0,17.6,6.2,9.0,12.35354,39.5469,44.20285,3.441908,6.62,20981929497.6188,38.2965130373956,-2511850197.82975,1487948334.81636,2552.28621435433,2.86,97.6056206360843,64.762,71.557,94.2166595458984,19.7894592285156,91.6054306030273,2006,Azerbaijan
8391850.0,4322173.0,4069677.0,16.9,6.2,9.0,12.0773,39.31745,40.85891,4.894924,7.26,13245421880.834,22.4240842178481,-1510755525.8451,1203590781.24983,2388.38873430769,3.36,97.1165437641463,64.154,70.947,95.526969909668,33.21782297364581,93.4306182861328,2005,Azerbaijan
8306500.0,4288067.0,4018433.0,15.8,6.0,9.0,11.9057,39.53688,41.26365,4.802119,7.99,8680410157.5717,10.9194816187784,-513587372.690727,953805120.711349,2281.94787214832,3.07,97.134998981277,63.881,70.771,97.2613296508789,33.21782297364581,95.5954284667969,2004,Azerbaijan
8234100.0,4258445.0,3975655.0,13.8,6.0,9.0,12.89596,38.20239,42.71645,4.804258,9.17,7276413079.11451,16.1706748815474,-251795557.890578,904142561.289258,2235.45985596483,2.94,96.9492359889219,63.161,70.336,96.2132415771484,33.21782297364581,92.6961517333984,2003,Azerbaijan
